Site_Number,Site_Name,Coast_Main,Island_Main,Island_Class_1,Island_Class_2,Island_Class_3,Site_Type_1,Notable_Features,Min_Depth_Range_Meters,Max_Depth_Range_Meters,Difficulty_Level
1,Coral Gardens,Andaman Sea (West Coast),Similan Islands,Ko Huyong,Island #1,South,Coral Garden,Shallow reef area featuring vibrant hard corals,0,10,Beginner
2,Shark Fin Reef,Andaman Sea (West Coast),Similan Islands,Ko Payan,Island #3,South,Reef,Distinctive rock formation resembling a shark fin,5,35,Intermediate
3,Boulder City,Andaman Sea (West Coast),Similan Islands,Ko Payan,Island #3,South,Boulder,Massive underwater boulders,15,40,Advanced
4,Princess Bay,Andaman Sea (West Coast),Similan Islands,Ko Miang,Island #4,Central,Bay,Shallow bay with coral gardens,5,18,Beginner
5,Honeymoon Bay,Andaman Sea (West Coast),Similan Islands,Ko Miang,Island #4,Central,Bay,Popular for night dives,5,25,Intermediate
6,Bird Rock (Chinese Wall),Andaman Sea (West Coast),Similan Islands,Ko Miang,Island #4,Central,Wall,Large granite boulders which form a wall-like structure,5,30,Intermediate
7,Stonehenge,Andaman Sea (West Coast),Similan Islands,Ko Miang,Island #4,Central,Boulder,Named for the towering rocks that rise from the depths,0,40,Advanced
8,Hideaway Bay (Barracuda Point),Andaman Sea (West Coast),Similan Islands,Ko Ha,Island #5,Central,Bay,Gentle sloping reef with scattered boulders,5,25,Intermediate
9,Anita's Reef,Andaman Sea (West Coast),Similan Islands,Ko Payu,Island #6,Central,Coral Garden,Hard coral garden with gentle currents,5,30,Intermediate
10,Deep Six,Andaman Sea (West Coast),Similan Islands,Ko Hin Pousar,Island #7,Central,Boulder,Deep dive with boulder formations,18,40,Advanced
11,East of Eden,Andaman Sea (West Coast),Similan Islands,Ko Hin Pousar,Island #7,Central,Coral Garden,Rich coral garden with abundant sea life,5,35,Intermediate
12,West of Eden,Andaman Sea (West Coast),Similan Islands,Ko Hin Pousar,Island #7,Central,Wall,Dramatic drop-offs and abundant soft corals,5,40,Advanced
13,Turtle Rock,Andaman Sea (West Coast),Similan Islands,Ko Similan,Island #8,North,Reef,Popular for turtle sightings,5,25,Intermediate
14,Waterfall Bay,Andaman Sea (West Coast),Similan Islands,Ko Similan,Island #8,North,Bay,Named for a seasonal waterfall,5,20,Beginner
15,Elephant Head Rock,Andaman Sea (West Coast),Similan Islands,Ko Similan,Island #8,North,Boulder,Famous for swim-throughs and caverns,10,40,Advanced
16,Beacon Point,Andaman Sea (West Coast),Similan Islands,Ko Similan,Island #8,North,Point,Named for a navigation beacon,10,35,Intermediate
17,Fantasy Reef,Andaman Sea (West Coast),Similan Islands,Ko Similan,Island #8,North,Coral Garden,Colorful coral formations,5,30,Intermediate
18,Beacon Reef (Beacon Beach),Andaman Sea (West Coast),Similan Islands,Ko Similan,Island #8,North,Reef,"Extension of Beacon Point, also features the Atlantis Wreck",10,35,Intermediate
19,Donald Duck Bay,Andaman Sea (West Coast),Similan Islands,Ko Similan,Island #8,North,Bay,Named for a rock formation resembling Donald Duck,5,20,Beginner
20,Snapper Alley,Andaman Sea (West Coast),Similan Islands,Ko Ba-ngu,Island #9,North,Reef,Known for large schools of snappers,6,20,Beginner
21,Three Trees,Andaman Sea (West Coast),Similan Islands,Ko Ba-ngu,Island #9,North,Reef,Named for three large trees visible from the sea,5,30,Intermediate
22,North Point (Rocky Point),Andaman Sea (West Coast),Similan Islands,Ko Ba-ngu,Island #9,North,Point,Boulders and coral formations,10,35,Intermediate
23,Breakfast Bend,Andaman Sea (West Coast),Similan Islands,Ko Ba-ngu,Island #9,North,Reef,Morning dive with gentle current,5,30,Intermediate
24,Christmas Point,Andaman Sea (West Coast),Similan Islands,Ko Ba-ngu,Island #9,North,Point,Rock formations resembling a Christmas tree,10,40,Advanced
25,Batfish Bend,Andaman Sea (West Coast),Similan Islands,Ko Ba-ngu,Island #9,North,Reef,Large schools of longfin batfish,8,30,Intermediate
